1RXS J073138.4+455718
G 107-63
G 111-14
MCC 495
G 111-17
G 111-13
BD+44 2555
G 202-44
StKM 1-1336
2MASS J16182491+4437110
LP 224-57
BD+46 2145
Ross 522
LP 177-317
G 202-29
BD+47 2298
BD+47 2312
IC 1153
HD 141712
HD 143584
GD 353
StKM 1-1294
StKM 1-1262
HD 141039
G 202-8
TYC 3489-1121-1
LP 136-18
G 201-49
LP 135-253
NGC 5879
NGC 5906
NGC 5905
StKM 1-1220
StKM 1-1240
M 102
LP 135-222
LP 98-375
G 201-27
LP 98-338
BPS BS 16086-0016
SBSS 1453+571
HD 130173
NGC 5667
G 224-20
G 223-76
BD+60 1577
NGC 5777
HD 126323
V* DL Dra
BD+60 1536
EGGR 362
G 224-13
G 223-68
LP 98-79
BD+60 1536B
LP 98-119
G 223-38
BD+63 1080
G 238-52
HD 117043
G 238-34B
* 8 Dra
LP 65-181
LP 65-297
LP 65-296
LP 65-357
NGC 4391
HD 108774
G 237-77
NGC 4441
UGC 7941
PM J12366+6531
2MASS J12373919+6526148
LP 64-283
LSPM J1242+6542
UGC 7088
Mrk 197
NGC 4108
HD 104860
G 237-53
HD 105485
NGC 4332
NGC 4256
NGC 4221
NGC 4210
NGC 4121
UGC 7106
LP 64-87
NGC 4125
LP 63-210
HD 102616
HD 102121
GSC 04160-00286
V* SZ UMa
HD 100446
G 236-63
NGC 3682
HD 95955
G 236-51
G 236-41
HD 93270
NGC 3392
LP 62-499
G 236-29
StKM 1-878
LP 62-451
NGC 3259
EGGR 350
StKM 1-830
GD 462
LSR J1002+6349
G 235-39
BD+63 869
G 235-46
PG 0948+632
HD 82969
StKM 1-785
BD+60 1170
BD+61 1116
G 195-22
NGC 2768
NGC 2685
PM J09024+5848
2MASS J09061747+5847160
HD 73393
V* LT UMa
HD 71244
BD+54 1235
LP 124-51
HD 71779
MCC 516
BD+52 1308B
BD+52 1308A
LSPM J0823+5128
G 193-81
NGC 2500
MCC 515
BD+48 1606
LP 163-51
LP 162-65
G 111-20
G 111-26
GD 89
BD+43 1716
V* TW Lyn
G 111-28
EGGR 116
BD+43 2575
LP 224-44
* 14 Her
GSC 03064-01690
BD+45 2368
G 202-22
BD+45 2356
PM J15597+4403
HD 141399
LP 177-98
GD 347
HD 139779
HD 140487
HD 138134
G 201-54
LP 135-272
StM 231
G 201-45
NGC 5875
BD+56 1773
HD 134418
G 201-33
NGC 5820
NGC 5874
LP 135-84
HD 132142
G 224-21
G 201-9
Feige 104
StKM 1-1172
BPS BS 16930-0086
2MASS J14384542+5559134
LP 134-45
G 223-74
HD 129425
HD 128332
NGC 5678
NGC 5631
BPS BS 16930-0020
HD 123300
LP 97-674 B
NGC 5526
IC 996
LP 97-458
HD 122064
G 223-27
NGC 5370
NGC 5342
UGC 8988
NGC 5379
NGC 5376
NGC 5372
NGC 5402
NGC 5430
NGC 5389
LP 97-340
NGC 5322
NGC 5216
NGC 5218
NGC 5205
G 199-72
MCC 699
UGC 8571
NGC 5308
UGC 8684
HD 114216
HD 116272
LP 65-314
LP 96-100
HD 113337
G 238-23
HD 111513
G 237-76
NGC 4510
G 199-16
BD+62 1236
NGC 4521
UGC 7848
NGC 4545
NGC 4605
LP 64-520
LP 64-573
NGC 4036
NGC 4081
G 237-52
G 237-54
NGC 4205
UGC 7179
NGC 4238
Mrk 195
UGC 7153
NGC 4041
HD 101365
EGGR 353
G 237-38
