53   ;G 216-43                           ;PM*;23 26 39.6540209032 +45 21 14.082570311;     ~   ;12.38    ;10.93    ;10.48    ;     ~   ;M4.5                  ;  15;   0,
54   ;HD 222143                          ;BY*;23 37 58.4879988924 +46 11 57.964746541;7.400    ;7.230    ;     ~   ;6.2      ;     ~   ;G2                    ; 126;   0,
55   ;* lam And                          ;RS*;23 37 33.8427800830 +46 27 29.344721109;5.54     ;4.84     ;3.82     ;3.04     ;2.47     ;G8IVk                 ; 664;   0,
56   ;BD+45 4378                         ;SB*;23 58 43.4881610546 +46 43 44.737257440;     ~   ;11.02    ;9.78     ;9.25     ;     ~   ;K7V                   ;  78;   0,
57   ;LP 149-14                          ;PM*;23 59 49.5091022136 +47 45 44.511240059;     ~   ;17.97    ;     ~   ;14.0     ;     ~   ;M5.0V                 ;  26;   0,
58   ;LP 239-58                          ;PM*;23 51 43.1265548747 +45 15 56.245303100;     ~   ;17.9     ;     ~   ;16.0     ;     ~   ;M4.5V                 ;   7;   0,
59   ;IC 1525                            ;GiG;23 59 15.8326855080 +46 53 21.123053088;     ~   ;13.3     ;     ~   ;     ~   ;     ~   ;~                     ;  47;   0,
60   ;BD+46 4175                         ;PM*;23 48 13.4355587904 +47 04 58.860405696;     ~   ;     ~   ;     ~   ;9.2      ;     ~   ;K0III                 ;  15;   0,
61   ;LSPM J2351+4519                    ;PM*;23 51 29.6693837232 +45 19 26.323803336;     ~   ;20.9     ;     ~   ;18.8     ;     ~   ;M7                    ;   5;   0,
62   ;HD 38B                             ;PM*;00 05 41.0026267908 +45 48 37.359387405;     ~   ;10.34    ;8.995    ;     ~   ;     ~   ;M0.5V                 ; 114;   0,
63   ;HD 38A                             ;SB*;00 05 41.0220797201 +45 48 43.550746689;     ~   ;10.17    ;8.826    ;     ~   ;     ~   ;K6V                   ; 123;   0,
64   ;BD+44 4548                         ;PM*;00 05 10.8891989003 +45 47 11.641457986;     ~   ;11.45    ;     ~   ;9.2      ;     ~   ;M2Ve                  ; 162;   0,
65   ;1RXS J000849.7+461142              ;PM*;00 08 49.6112905896 +46 11 46.231398996;     ~   ;     ~   ;     ~   ;14.48    ;     ~   ;~                     ;   0;   0,
66   ;LP 191-37                          ;WD?;00 02 54.0637996680 +46 14 02.892733728;     ~   ;18.0     ;16.05    ;17.5     ;     ~   ;~                     ;   7;   0,
67   ;LP 192-36                          ;PM*;00 06 48.4293323736 +45 11 49.995721968;     ~   ;19.1     ;     ~   ;17.0     ;     ~   ;~                     ;   4;   0,
68   ;G 171-53                           ;PM*;00 22 27.2776542648 +46 13 55.269728400;     ~   ;14.65    ;     ~   ;12.581   ;     ~   ;~                     ;   8;   0,
69   ;PM J00194+4614                     ;LM*;00 19 26.2642874256 +46 14 07.789543152;     ~   ;     ~   ;20.0     ;     ~   ;     ~   ;M8                    ;  36;   0,
70   ;LP 149-38                          ;PM*;00 13 46.2943190280 +45 54 40.799157264;     ~   ;16.1     ;     ~   ;14.1     ;     ~   ;~                     ;   6;   0,
71   ;LP 149-50                          ;PM*;00 19 48.2537027112 +47 07 29.258181156;     ~   ;16.9     ;     ~   ;15.5     ;     ~   ;~                     ;   5;   0,
72   ;LP 150-12                          ;PM*;00 29 12.1626582384 +46 12 15.684043644;     ~   ;15.49    ;     ~   ;13.1     ;     ~   ;~                     ;   8;   0,
73   ;LP 150-6                           ;PM*;00 26 13.3729392168 +46 26 53.485935684;     ~   ;16.0     ;     ~   ;13.6     ;     ~   ;~                     ;  11;   0,
74   ;BD+44 85                           ;PM*;00 25 04.2694155792 +45 41 19.228026840;     ~   ;     ~   ;     ~   ;8.9      ;     ~   ;K2                    ;  20;   0,
75   ;LP 150-16                          ;PM*;00 31 20.2649797584 +46 51 35.919883548;     ~   ;18.7     ;     ~   ;17.0     ;     ~   ;~                     ;   4;   0,
76   ;BD+45 188                          ;PM*;00 44 21.1816087032 +45 55 12.775828404;10.392   ;9.817    ;8.951    ;8.475    ;8.057    ;K2                    ;   3;   0,
77   ;G 172-19                           ;WD*;00 43 48.9583363911 +46 16 21.154663836;     ~   ;17.11    ;     ~   ;14.7     ;     ~   ;DA+M?                 ;  10;   0,
78   ;HD 3454                            ;SB*;00 37 56.9909294544 +47 24 27.776418228;     ~   ;8.00     ;7.53     ;     ~   ;     ~   ;F5                    ;  57;   0,
79   ;LP 150-40                          ;PM*;00 45 47.5654744536 +46 08 23.649217728;     ~   ;20.8     ;     ~   ;18.8     ;     ~   ;~                     ;   5;   0,
80   ;G 172-30                           ;PM*;00 57 02.6919355142 +45 05 09.788526472;     ~   ;13.19    ;11.972   ;11.568   ;     ~   ;M3.0V                 ;  41;   0,
81   ;G 172-28                           ;PM*;00 53 53.2527875036 +45 56 40.451250246;     ~   ;     ~   ;     ~   ;10.595   ;     ~   ;M0V                   ;  27;   0,
82   ;LP 193-564                         ;** ;00 48 58.265808 +44 35 08.57904        ;     ~   ;14.66    ;13.07    ;12.60    ;10.45    ;M3                    ;  33;   0,
83   ;LP 194-1                           ;Em*;00 51 24.1212754824 +45 31 30.829894716;     ~   ;16.9     ;     ~   ;14.6     ;     ~   ;~                     ;  10;   0,
84   ;G 172-41                           ;PM*;01 08 39.2256282528 +45 02 34.631927916;     ~   ;15.4     ;     ~   ;13.3     ;     ~   ;M3                    ;   8;   0,
85   ;LP 194-39                          ;PM*;01 14 40.4454853308 +44 28 46.410920622;     ~   ;19.6     ;     ~   ;16.8     ;     ~   ;M6.5V                 ;  16;   0,
86   ;HD 7799                            ;PM*;01 18 20.8270470775 +44 16 17.158457801;     ~   ;     ~   ;     ~   ;9.4      ;     ~   ;K3                    ;  19;   0,
