LBN 104.28+02.09                   
ATO J333.4670+57.0968              
ATO J332.8518+57.2657              
2MASS J22110446+5708417            
HD 210855                          
G 233-2                            
LBN 104.39+01.32                   
V* V351 Cep                        
G 232-70                           
HD 239999                          
HD 215588                          
Cl Berkeley 95                     
Cl Berkeley 97                     
LBN 106.32-00.35                   
IRAS 22305+5803                    
SH 2-138                           
* del Cep                          
HD 239960B                         
HD 240166                          
V* CR Cep                          
Ross 227                           
NGC 7419                           
LBN 108.78-01.01                   
SH 2-149                           
IRAS 22566+5828                    
SH 2-142                           
[KC97c] G107.2-01.0                
[HLB98] Onsala 170                 
SH 2-152                           
2MASS J22493142+5955421            
[BDS2003] 37                       
GSH 107+01-78                      
SH 2-147                           
JCMTSE J225855.3+592838            
V* SW Cas                          
SH 2-159                           
LBN 111.14-00.72                   
BFS 17                             
IRAS 23033+5951                    
IRAS 23139+5939                    
PSR J2304+60                       
TYC 4010-1650-1                    
[BDS2003] 42                       
IC 1470                            
V* V399 Cas                        
PN KjPn 8                          
HD 221354                          
G 217-14                           
LBN 113.53-00.67                   
LBN 113.05-04.51                   
Ross 231                           
Ross 232                           
NGC 7635                           
Ass Cas OB 2                       
NAME Cas A                         
V* CF Cas                          
V* CE Cas B                        
V* CE Cas A                        
G 217-18                           
HD 224233                          
LBN 115.71-01.61                   
SH 2-169                           
MCC 869                            
LBN 114.63-00.85                   
TYC 4013-1374-1                    
Ass Cas OB 5                       
HD 236348                          
V* BD Cas                          
G 217-32                           
HD 240476                          
GAT 1367                           
BD+60 73                           
V* V379 Cas                        
Wolf 10                            
V* DL Cas                          
NGC 136                            
V* V709 Cas                        
[I81] M 293                        
LBN 119.57-00.92                   
V* V1033 Cas                       
[I81] M 134                        
V* V1037 Cas                       
IC 10                              
Wolf 32                            
G 218-16                           
HD 5015                            
Wolf 15                            
Case 524                           
V* XY Cas                          
BD+58 118                          
LBN 623                            
* gam Cas                          
TYC 4016-920-1                     
HD 7284                            
Wolf 59                            
G 218-27                           
G 218-22                           
PSR B0114+58                       
EM* GGA 25                         
EM* GGA 30                         
Wolf 58                            
HD 236717                          
Case 527                           
NGC 457                            
G 219-3                            
TYC 3678-713-1                     
Case 534                           
Ross 10                            
Case 535                           
Case 531                           
HD 236890                          
Ross 14                            
HD 13403                           
V* CN Per                          
PN G131.4-05.4                     
V* EW Per                          
BD+53 467                          
HD 14039                           
G 220-6                            
V* V440 Per                        
G 173-55                           
LEDA 168300                        
G 173-58                           
HD 15407                           
HD 15407B                          
EGGR 314                           
HD 17379                           
G 174-25                           
UGC 2409                           
HD 232741                          
Ross 341                           
G 174-28                           
MCG+09-06-001                      
V* V565 Per                        
G 174-18                           
BD+49 873                          
* iot Per                          
Ross 346                           
HD 18916                           
HD 20548                           
BD+47 805                          
UGC 2773                           
HD 20675                           
G 78-25                            
2MASS J03195198+4848225            
Ross 355                           
LP 155-47                          
Cl Melotte 20                      
HD 21845                           
G 78-45                            
* 36 Per                           
HD 23140                           
HD 22520                           
G 78-48                            
PSR B0331+45                       
PM J03396+4531                     
G 95-59                            
Z 541-26                           
LP 200-31                          
HD 188100                          
BD+42 3434                         
HD 226317                          
V* V1154 Cyg                       
HD 226210                          
HD 186788                          
V* V1510 Cyg                       
TYC 3144-282-1                     
TYC 3144-2418-1                    
TYC 3145-27-1                      
TYC 3145-76-1                      
TYC 3145-323-1                     
TYC 3145-1170-1                    
G 208-45                           
G 208-44                           
HD 190064                          
HD 190148                          
G 209-11                           
NGC 6866                           
TYC 3149-473-1                     
TYC 3162-111-1                     
TYC 3558-1248-1                    
TYC 3558-2021-1                    
TYC 3558-2064-1                    
HD 192239                          
NGC 6884                           
* 43 Cyg                           
LEDA 166684                        
2MASS J20401348+5059170            
ASAS J202631+5051.5                
G 230-37                           
PSR B2022+50                       
LSPM J2036+5100                    
BD+52 2815                         
HD 198387                          
G 231-14                           
PSR B2036+53                       
NGC 7008                           
HD 235451                          
LSR J2059+5517                     
G 231-30                           
GD 548                             
PN K 3-60                          
SH 2-131                           
HD 207514                          
IRAS 21500+5903                    
GSH 102+03-115                     
Ass Cep OB 2                       
V* IR Cep                          
BD+60 2412                         
[BDS2003] 30                       
LBN 509                            
Ross 226                           
LBN 108.96+01.70                   
G 241-20                           
NGC 7354                           
G 241-25                           
G 233-33                           
G 232-77                           
[WBN74] NGC 7538 IRS 11            
IRAS 23118+6110                    
[WAM82] 111.525+0.818              
EGGR 284                           
LBN 110.11+02.44                   
MCC 858                            
SH 2-161                           
NAME III CEP ASSOC                 
[WBN74] NGC 7538 IRS 1             
LP 109-57                          
NGC 7538                           
MSX5C G109.8719+02.1158            
V* CY Cas                          
V* CH Cas                          
PSR B2323+63                       
IRAS 23262+6401                    
G 241-48                           
PSR B2351+61                       
V* DD Cas                          
Cl King 21                         
NAME PWM 4                         
LBN 114.55+00.22                   
NAME Majaess 225                   
DSH J2347.9+6259                   
PN BV 1                            
LS I +61 130                       
Cl King 1                          
IRAS 00117+6412                    
[I81] M 50                         
LBN 117.62+02.29                   
HD 224792                          
Cl Stock 18                        
LSR J0002+6357                     
G 243-33                           
Cl King 15                         
PN BV 2                            
LP 79-41                           
SH 2-177                           
SN 1572A                           
Ass Cas OB 4                       
Wolf 47                            
BD+61 195                          
SH 2-180                           
Wolf 44                            
1RXS J010228.1+633256              
Ass Cas OB 7                       
Wolf 53                            
Wolf 53 B                          
LBN 126.70-00.80                   
SH 2-186                           
NGC 366                            
HBHA 6210-03                       
EM* GGA 19                         
* del Cas                          
G 244-32                           
EM* GGA 87                         
PSR J0146+6145                     
LP 80-77                           
LP 80-41                           
NGC 663 61                         
EM* VES 624                        
NGC 663 84                         
EM* GGA 104                        
NGC 654                            
EM* GGA 55                         
Ass Cas OB 8                       
EM* GGA 94                         
HD 11126                           
HD 12482                           
IRAS 02044+6031                    
G 219-26                           
HD 236869                          
BD+58 317                          
HD 12088                           
G 219-22                           
PSR B0144+59                       
EM* GGA 117                        
V* VX Per                          
Ross 20                            
V* UX Per                          
Cl Stock 2                         
Ross 15                            
Kiso C1-209                        
LAWD 12                            
Case 541                           
Ross 21                            
V* LR Per                          
G 174-7                            
G 174-4                            
GD 283                             
Cl Czernik 8                       
LEDA 2807107                       
Ass Per OB 1                       
G 173-61                           
HD 17495                           
G 174-12                           
NIKC 2-32                          
UCAC3 295-64911                    
EGGR 473                           
Ross 364                           
Ross 365                           
* gam Per                          
HD 232781                          
BD+51 697                          
Cl King 5                          
BD+49 966                          
G 174-54                           
Ass Per OB 3                       
Koenig 48                          
LP 155-162                         
G 95-55                            
UGC 2843                           
V* MM Per                          
EGGR 570                           
LP 155-214                         
HD 25918                           
LP 200-33                          
HD 25100                           
UGC 2908                           
HD 276125                          
HD 276119                          
GSH 156-06-59                      
BD+44 3211                         
HD 187160                          
BD+43 3312                         
BD+43 3317                         
HD 186306                          
BD+42 3378                         
TYC 3143-125-1                     
TYC 3144-1204-1                    
TYC 3147-1222-1                    
TYC 3147-1696-1                    
TYC 3147-1795-1                    
TYC 3148-922-1                     
TYC 3148-1170-1                    
TYC 3148-1605-1                    
TYC 3148-1709-1                    
TYC 3148-1837-1                    
TYC 3148-1903-1                    
TYC 3148-2198-1                    
TYC 3148-2384-1                    
G 208-42                           
HD 188361                          
Z 257-8                            
BD+44 3202                         
TYC 3557-1047-1                    
TYC 3557-1489-1                    
TYC 3557-1689-1                    
TYC 3557-2238-1                    
TYC 3558-51-1                      
TYC 3558-575-1                     
TYC 3558-907-1                     
TYC 3558-2047-1                    
TYC 3561-1331-1                    
LSR J1945+4650A                    
LSR J1945+4650B                    
BD+47 2942                         
BD+47 2936                         
BD+47 2960                         
BD+47 2931                         
HD 188795                          
TYC 3561-330-1                     
TYC 3561-1571-1                    
