star_name,star_alternate_names
K2-170,"2MASS J22214817-1435359, EPIC 206008091, WISE J222148.17-143536.0"
K2-171,"2MASS J22092179-1325438, EPIC 206049764, WISE J220921.78-132543.8"
K2-172,"2MASS J22211401-1233247, EPIC 206082454, WISE J222113.96-123325.0"
K2-173,"2MASS J04012997+1537300, EPIC 210512842, WISE J040130.02+153730.3"
K2-174,"2MASS J04031027+1620509, EPIC 210558622, WISE J040310.30+162050.1"
K2-175,"2MASS J03300086+1735032, EPIC 210643811, TYC 1238-448-1, WISE J033000.85+173502.8"
K2-176,"2MASS J03530460+1754255, EPIC 210667381, WISE J035304.59+175425.1"
K2-177,"2MASS J03405510+2044100, EPIC 210857328, WISE J034055.10+204409.9"
K2-178,"2MASS J03313333+2226055, EPIC 210965800, WISE J033133.32+222605.3"
K2-179,"2MASS J03551125+2345245, EPIC 211048999, WISE J035511.23+234524.3"
K2-17,"EPIC 201855371, 2MASS J11531915+0624439, WISE J115319.12+062444.2"
K2-180,"2MASS J08255135+1014491, EPIC 211319617, WISE J082551.41+101448.1"
K2-181,"2MASS J08301297+1054371, EPIC 211355342, WISE J083012.98+105436.7"
K2-182,"2MASS J08404327+1058585, EPIC 211359660, WISE J084043.22+105858.6"
K2-183,"2MASS J08200170+1401100, EPIC 211562654, WISE J082001.72+140110.0"
K2-184,"2MASS J08363360+1427429, EPIC 211594205, TYC 809-394-1, WISE J083633.69+142742.8"
K2-185,"2MASS J08410232+1441250, EPIC 211611158, WISE J084102.31+144124.8"
K2-186,"2MASS J09012038+1849316, EPIC 211906650, WISE J090120.41+184931.2"
K2-187,"2MASS J08500566+2311333, EPIC 212157262, WISE J085005.65+231133.0"
K2-188,"2MASS J08391527+2321269, EPIC 212164470, WISE J083915.28+232126.8"
K2-189,"2MASS J13342910-1502105, EPIC 212394689, TYC 6121-11-1, WISE J133429.13-150211.2"
K2-18,"EPIC 201912552, 2MASS J11301450+0735180, WISE J113014.45+073516.8"
K2-190,"2MASS J13412725-1309392, EPIC 212480208, TYC 5552-1202-1, WISE J134127.17-130939.0"
K2-191,"2MASS J13263339-1248235, EPIC 212496592, WISE J132633.39-124823.8"
K2-192,"2MASS J13461973-1133226, EPIC 212555594, WISE J134619.74-113322.7"
K2-193,"2MASS J13405689-1100336, EPIC 212580872, WISE J134056.90-110033.4"
K2-194,"2MASS J13382614-0855378, EPIC 212672300, WISE J133826.16-085537.8"
K2-195,"2MASS J13191957-0830339, EPIC 212689874, WISE J131919.56-083034.2"
K2-196,"2MASS J13214951-0828181, EPIC 212691422, WISE J132149.50-082818.1"
